Player,span_x,matches_x,innings_x,not outs,runs_x,highscore,average_x,balls faced,strikerate,hundreds,fifties,ducks,fours,sixes,span_y,matches_y,innings_y,balls,overs,maidens,runs_y,wickets,BBI,BBM,average_y,economy,strike rate,four wicket haul,fifer,bowling-style,span,matches,innings,dismissals,catches,stumpings,max dismissals in innings,dismissals/innings,,position
Shadab Khan (PAK),,,,,,,,,,,,,,,2021-2021,6,6,138,23,-,138,9,26-Apr,26-Apr,15.33,6,15.33,1,-,Right-arm leg-spin,,,,,,,,,,8
AU Rashid (ENG),,,,,,,,,,,,,,,2021-2021,6,6,134,22.2,-,146,9,2-Apr,2-Apr,16.22,6.53,14.88,1,-,Right-arm leg-spin,,,,,,,,,,9
JN Frylinck (NAM),,,,,,,,,,,,,,,2021-2021,7,7,135,22.3,-,168,9,21-Mar,21-Mar,18.66,7.46,15,-,-,Right-arm fast-medium,,,,,,,,,,9
IS Sodhi (NZ),,,,,,,,,,,,,,,2021-2021,7,7,144,24,-,194,9,17-Feb,17-Feb,21.55,8.08,16,-,-,Right-arm leg-spin,,,,,,,,,,9
MA Starc (AUS),,,,,,,,,,,,,,,2021-2021,7,7,162,27,-,248,9,21-Feb,21-Feb,27.55,9.18,18,-,-,Right-arm fast-medium,,,,,,,,,,8
Rashid Khan (AFG),,,,,,,,,,,,,,,2021-2021,5,5,110,18.2,-,112,8,9-Apr,9-Apr,14,6.1,13.75,1,-,Right-arm leg-spin,,,,,,,,,,8
T Shamsi (SA),,,,,,,,,,,,,,,2021-2021,5,5,114,19,-,121,8,17-Mar,17-Mar,15.12,6.36,14.25,-,-,left wrist-spin,,,,,,,,,,8
M Theekshana (SL),,,,,,,,,,,,,,,2021-2021,7,7,150,25,-,137,8,17-Mar,17-Mar,17.12,5.48,18.75,-,-,Off-spin,,,,,,,,,,8
Haris Rauf (PAK),,,,,,,,,,,,,,,2021-2021,6,6,138,23,-,168,8,22-Apr,22-Apr,21,7.3,17.25,1,-,Right-arm fast,,,,,,,,,,9
TG Southee (NZ),,,,,,,,,,,,,,,2021-2021,7,7,167,27.5,-,181,8,15-Feb,15-Feb,22.62,6.5,20.87,-,-,Right-arm fast-medium,,,,,,,,,,8
SM Sharif (SCOT),,,,,,,,,,,,,,,2021-2021,7,7,139,23.1,-,188,8,25-Feb,25-Feb,23.5,8.11,17.37,-,-,Right-arm fast-medium,,,,,,,,,,9
CBRLS Kumara (SL),,,,,,,,,,,,,,,2021-2021,7,7,152,25.2,1,194,8,7-Mar,7-Mar,24.25,7.65,19,-,-,Right-arm fast,,,,,,,,,,8
Mustafizur Rahman (BAN),,,,,,,,,,,,,,,2021-2021,7,7,144,24,1,222,8,Apr-36,Apr-36,27.75,9.25,18,1,-,Left-arm medium-fast,,,,,,,,,,9
BTJ Wheal (SCOT),,,,,,,,,,,,,,,2021-2021,8,8,162,27,-,237,8,24-Mar,24-Mar,29.62,8.77,20.25,-,-,Left-arm fast-medium,,,,,,,,,,10
Mujeeb Ur Rahman (AFG),,,,,,,,,,,,,,,2021-2021,3,3,72,12,-,65,7,20-May,20-May,9.27,5.41,10.28,-,1,Right-arm off-spin,,,,,,,,,,10
JJ Bumrah (IND),,,,,,,,,,,,,,,2021-2021,5,5,112,18.4,1,95,7,10-Feb,10-Feb,13.57,5.08,16,-,-,Right-arm fast,,,,,,,,,,11
TS Mills (ENG),,,,,,,,,,,,,,,2021-2021,4,4,81,13.3,-,108,7,27-Mar,27-Mar,15.42,8,11.57,-,-,Right-arm fast,,,,,,,,,,11
CR Woakes (ENG),,,,,,,,,,,,,,,2021-2021,6,6,123,20.3,1,151,7,23-Feb,23-Feb,21.57,7.36,17.57,-,-,Right-arm fast-medium,,,,,,,,,,9
Shaheen Shah Afridi (PAK),,,,,,,,,,,,,,,2021-2021,6,6,144,24,1,169,7,31-Mar,31-Mar,24.14,7.04,20.57,-,-,Right-arm fast,,,,,,,,,,10
PVD Chameera (SL),,,,,,,,,,,,,,,2021-2021,8,8,168,28,-,233,7,27-Feb,27-Feb,33.28,8.32,24,-,-,Right-arm fast,,,,,,,,,,10
R Ashwin (IND),,,,,,,,,,,,,,,2021-2021,3,3,72,12,-,63,6,20-Mar,20-Mar,10.5,5.25,12,-,-,Off-spin,,,,,,,,,,8
KV Morea (PNG),,,,,,,,,,,,,,,2021-2021,3,3,60,10,-,75,6,Apr-31,Apr-31,12.5,7.5,10,1,-,Right-arm fast-medium,,,,,,,,,,8
CJ Jordan (ENG),,,,,,,,,,,,,,,2021-2021,6,6,114,19,-,130,6,17-Mar,17-Mar,21.66,6.84,19,-,-,Right-arm fast-medium,,,,,,,,,,8
Mohammed Shami (IND),,,,,,,,,,,,,,,2021-2021,5,5,95,15.5,1,140,6,15-Mar,15-Mar,23.33,8.84,15.83,-,-,Right-arm fast,,,,,,,,,,9
Taskin Ahmed (BAN),,,,,,,,,,,,,,,2021-2021,6,6,131,21.5,1,142,6,12-Feb,12-Feb,23.66,6.5,21.83,-,-,Right-arm fast,,,,,,,,,,9
C Karunaratne (SL),,,,,,,,,,,,,,,2021-2021,8,8,135,22.3,-,165,6,27-Feb,27-Feb,27.5,7.33,22.5,-,-,Right-arm fast-medium,,,,,,,,,,8
Bilal Khan (OMA),,,,,,,,,,,,,,,2021-2021,3,3,66,11,1,49,5,18-Mar,18-Mar,9.8,4.45,13.2,-,-,Right-arm fast,,,,,,,,,,8
